========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 4
batch_size: 256
n_z: 2
dataset: 4C
pretrain_path: data/4C/ae_gamma_0.05_nz_2_update_3.pkl
gamma: 0.05
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

IDEC(
  (ae): AE(
    (enc_1): Linear(in_features=2, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=1000, bias=True)
    (z_layer): Linear(in_features=1000, out_features=2, bias=True)
    (dec_1): Linear(in_features=2, out_features=1000, bias=True)
    (dec_2): Linear(in_features=1000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2, bias=True)
  )
)=================================================

Iter 000: Acc 0.4830, NMI 0.3123, ARI 0.2547, Δlabel 0.0000
Iter 003: Acc 0.4290, NMI 0.2755, ARI 0.1845, Δlabel 0.2200
Iter 006: Acc 0.4150, NMI 0.2477, ARI 0.1406, Δlabel 0.2160
Iter 009: Acc 0.3530, NMI 0.0811, ARI 0.0262, Δlabel 0.3220
Iter 012: Acc 0.4020, NMI 0.1646, ARI 0.0733, Δlabel 0.1430
Iter 015: Acc 0.3860, NMI 0.1257, ARI 0.0703, Δlabel 0.0820
Iter 018: Acc 0.3920, NMI 0.1355, ARI 0.0781, Δlabel 0.0340
Iter 021: Acc 0.3930, NMI 0.1304, ARI 0.0786, Δlabel 0.0180
Iter 024: Acc 0.3960, NMI 0.1339, ARI 0.0839, Δlabel 0.0180
Iter 027: Acc 0.3980, NMI 0.1395, ARI 0.0917, Δlabel 0.0190
Iter 030: Acc 0.3980, NMI 0.1458, ARI 0.0951, Δlabel 0.0140
Iter 033: Acc 0.4000, NMI 0.1490, ARI 0.0932, Δlabel 0.0110
Iter 036: Acc 0.4180, NMI 0.1630, ARI 0.1058, Δlabel 0.0290
Iter 039: Acc 0.3940, NMI 0.1091, ARI 0.0666, Δlabel 0.0650
Iter 042: Acc 0.4240, NMI 0.1430, ARI 0.0847, Δlabel 0.1110
Iter 045: Acc 0.3470, NMI 0.0737, ARI 0.0278, Δlabel 0.1100
Iter 048: Acc 0.3520, NMI 0.0722, ARI 0.0272, Δlabel 0.0120
Iter 051: Acc 0.3420, NMI 0.0692, ARI 0.0231, Δlabel 0.0250
Iter 054: Acc 0.3450, NMI 0.0735, ARI 0.0246, Δlabel 0.0130
Iter 057: Acc 0.3440, NMI 0.0733, ARI 0.0237, Δlabel 0.0120
Iter 060: Acc 0.3380, NMI 0.0756, ARI 0.0241, Δlabel 0.0110
Iter 063: Acc 0.3370, NMI 0.0783, ARI 0.0252, Δlabel 0.0120
Iter 066: Acc 0.3340, NMI 0.0817, ARI 0.0266, Δlabel 0.0120
Iter 069: Acc 0.3330, NMI 0.0736, ARI 0.0280, Δlabel 0.0290
Iter 072: Acc 0.3290, NMI 0.0741, ARI 0.0297, Δlabel 0.0200
Iter 075: Acc 0.3340, NMI 0.0796, ARI 0.0343, Δlabel 0.0180
Iter 078: Acc 0.3370, NMI 0.0889, ARI 0.0412, Δlabel 0.0230
Iter 081: Acc 0.3370, NMI 0.1020, ARI 0.0538, Δlabel 0.0720
Iter 084: Acc 0.3530, NMI 0.1151, ARI 0.0686, Δlabel 0.0430
Iter 087: Acc 0.3420, NMI 0.0933, ARI 0.0466, Δlabel 0.0700
Iter 090: Acc 0.3380, NMI 0.0908, ARI 0.0456, Δlabel 0.0180
Iter 093: Acc 0.3450, NMI 0.0992, ARI 0.0536, Δlabel 0.0240
Iter 096: Acc 0.3430, NMI 0.0990, ARI 0.0524, Δlabel 0.0120
Iter 099: Acc 0.3460, NMI 0.1014, ARI 0.0543, Δlabel 0.0090
