========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 2
batch_size: 256
n_z: 10
dataset: AC
pretrain_path: data/AC/ae_gamma_0.02_nz_10_update_3.pkl
gamma: 0.02
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

Iter 000: Acc 0.7460, NMI 0.0999, ARI 0.2040, Δlabel 0.0000
Iter 003: Acc 0.7331, NMI 0.0981, ARI 0.1916, Δlabel 0.0468
Iter 006: Acc 0.7341, NMI 0.1102, ARI 0.1999, Δlabel 0.0269
Iter 009: Acc 0.7400, NMI 0.1188, ARI 0.2115, Δlabel 0.0060
Iter 012: Acc 0.7430, NMI 0.1185, ARI 0.2150, Δlabel 0.0110
Iter 015: Acc 0.7450, NMI 0.1182, ARI 0.2171, Δlabel 0.0080
Iter 018: Acc 0.7520, NMI 0.1259, ARI 0.2298, Δlabel 0.0070
Iter 021: Acc 0.7590, NMI 0.1332, ARI 0.2423, Δlabel 0.0090
Iter 024: Acc 0.7679, NMI 0.1445, ARI 0.2596, Δlabel 0.0090
Iter 027: Acc 0.7709, NMI 0.1477, ARI 0.2650, Δlabel 0.0050
Iter 030: Acc 0.7769, NMI 0.1559, ARI 0.2771, Δlabel 0.0060
Iter 033: Acc 0.7839, NMI 0.1668, ARI 0.2921, Δlabel 0.0070
Iter 036: Acc 0.7878, NMI 0.1730, ARI 0.3005, Δlabel 0.0040
Iter 039: Acc 0.7898, NMI 0.1768, ARI 0.3054, Δlabel 0.0020
Iter 042: Acc 0.7938, NMI 0.1839, ARI 0.3146, Δlabel 0.0040
Iter 045: Acc 0.7978, NMI 0.1912, ARI 0.3239, Δlabel 0.0040
Iter 048: Acc 0.8008, NMI 0.1964, ARI 0.3306, Δlabel 0.0030
Iter 051: Acc 0.8008, NMI 0.1964, ARI 0.3306, Δlabel 0.0000
