========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 2
batch_size: 256
n_z: 10
dataset: AC
pretrain_path: data/AC/ae_gamma_0.2_nz_10_update_3.pkl
gamma: 0.2
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

Iter 000: Acc 0.9044, NMI 0.5272, ARI 0.6466, Δlabel 0.0000
Iter 003: Acc 0.9024, NMI 0.5174, ARI 0.6399, Δlabel 0.0020
Iter 006: Acc 0.9044, NMI 0.5249, ARI 0.6464, Δlabel 0.0020
Iter 009: Acc 0.9034, NMI 0.5179, ARI 0.6429, Δlabel 0.0030
Iter 012: Acc 0.9054, NMI 0.5398, ARI 0.6505, Δlabel 0.0120
Iter 015: Acc 0.9064, NMI 0.5539, ARI 0.6544, Δlabel 0.0070
Iter 018: Acc 0.9084, NMI 0.5766, ARI 0.6616, Δlabel 0.0080
Iter 021: Acc 0.9114, NMI 0.5974, ARI 0.6718, Δlabel 0.0050
Iter 024: Acc 0.9084, NMI 0.5948, ARI 0.6622, Δlabel 0.0050
Iter 027: Acc 0.9054, NMI 0.5874, ARI 0.6525, Δlabel 0.0030
Iter 030: Acc 0.9044, NMI 0.5849, ARI 0.6493, Δlabel 0.0030
Iter 033: Acc 0.9044, NMI 0.5849, ARI 0.6493, Δlabel 0.0020
Iter 036: Acc 0.9064, NMI 0.5955, ARI 0.6559, Δlabel 0.0040
Iter 039: Acc 0.9064, NMI 0.5955, ARI 0.6559, Δlabel 0.0020
Iter 042: Acc 0.9064, NMI 0.5955, ARI 0.6559, Δlabel 0.0020
Iter 045: Acc 0.9074, NMI 0.6044, ARI 0.6592, Δlabel 0.0010
