========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 2
batch_size: 256
n_z: 2
dataset: init_bias
pretrain_path: data/init_bias/ae_gamma_0.1_nz_2_update_3.pkl
gamma: 0.1
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

IDEC(
  (ae): AE(
    (enc_1): Linear(in_features=2, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=1000, bias=True)
    (z_layer): Linear(in_features=1000, out_features=2, bias=True)
    (dec_1): Linear(in_features=2, out_features=1000, bias=True)
    (dec_2): Linear(in_features=1000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2, bias=True)
  )
)=================================================

Iter 000: Acc 0.5550, NMI 0.0088, ARI 0.0113, Δlabel 0.0000
Iter 003: Acc 0.5842, NMI 0.0209, ARI 0.0275, Δlabel 0.0658
Iter 006: Acc 0.6042, NMI 0.0316, ARI 0.0426, Δlabel 0.0317
Iter 009: Acc 0.6500, NMI 0.0674, ARI 0.0893, Δlabel 0.0458
Iter 012: Acc 0.6583, NMI 0.0868, ARI 0.0996, Δlabel 0.1017
Iter 015: Acc 0.6442, NMI 0.0640, ARI 0.0824, Δlabel 0.0708
Iter 018: Acc 0.6517, NMI 0.0726, ARI 0.0913, Δlabel 0.0192
Iter 021: Acc 0.6592, NMI 0.0789, ARI 0.1006, Δlabel 0.0125
Iter 024: Acc 0.6517, NMI 0.0705, ARI 0.0913, Δlabel 0.0125
Iter 027: Acc 0.6217, NMI 0.0446, ARI 0.0584, Δlabel 0.0300
Iter 030: Acc 0.6233, NMI 0.0463, ARI 0.0601, Δlabel 0.0117
Iter 033: Acc 0.5925, NMI 0.0248, ARI 0.0334, Δlabel 0.0892
Iter 036: Acc 0.6033, NMI 0.0316, ARI 0.0419, Δlabel 0.0575
Iter 039: Acc 0.5825, NMI 0.0197, ARI 0.0264, Δlabel 0.0542
Iter 042: Acc 0.5725, NMI 0.0152, ARI 0.0202, Δlabel 0.0133
Iter 045: Acc 0.5592, NMI 0.0101, ARI 0.0132, Δlabel 0.0300
Iter 048: Acc 0.5583, NMI 0.0098, ARI 0.0128, Δlabel 0.0075
Iter 051: Acc 0.5375, NMI 0.0041, ARI 0.0048, Δlabel 0.0225
Iter 054: Acc 0.5383, NMI 0.0042, ARI 0.0050, Δlabel 0.0075
Iter 057: Acc 0.5217, NMI 0.0014, ARI 0.0010, Δlabel 0.0167
Iter 060: Acc 0.5167, NMI 0.0008, ARI 0.0003, Δlabel 0.0050
Iter 063: Acc 0.5167, NMI 0.0008, ARI 0.0003, Δlabel 0.0017
Iter 066: Acc 0.5158, NMI 0.0007, ARI 0.0002, Δlabel 0.0008
