========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 2
batch_size: 256
n_z: 2
dataset: non_spherical
pretrain_path: data/non_spherical/ae_gamma_0.01_nz_2_update_3.pkl
gamma: 0.01
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

IDEC(
  (ae): AE(
    (enc_1): Linear(in_features=2, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=1000, bias=True)
    (z_layer): Linear(in_features=1000, out_features=2, bias=True)
    (dec_1): Linear(in_features=2, out_features=1000, bias=True)
    (dec_2): Linear(in_features=1000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2, bias=True)
  )
)=================================================

Iter 000: Acc 0.9292, NMI 0.6777, ARI 0.7365, Δlabel 0.0000
Iter 003: Acc 0.7800, NMI 0.3888, ARI 0.3131, Δlabel 0.1558
Iter 006: Acc 0.9033, NMI 0.6272, ARI 0.6504, Δlabel 0.1233
Iter 009: Acc 0.9308, NMI 0.7011, ARI 0.7423, Δlabel 0.0275
Iter 012: Acc 0.9392, NMI 0.6972, ARI 0.7713, Δlabel 0.0217
Iter 015: Acc 0.9225, NMI 0.6774, ARI 0.7138, Δlabel 0.0300
Iter 018: Acc 0.9225, NMI 0.6774, ARI 0.7138, Δlabel 0.0017
Iter 021: Acc 0.9133, NMI 0.6527, ARI 0.6831, Δlabel 0.0092
Iter 024: Acc 0.9025, NMI 0.6185, ARI 0.6477, Δlabel 0.0108
Iter 027: Acc 0.9058, NMI 0.6104, ARI 0.6585, Δlabel 0.0100
Iter 030: Acc 0.8992, NMI 0.5936, ARI 0.6370, Δlabel 0.0067
Iter 033: Acc 0.9192, NMI 0.6298, ARI 0.7026, Δlabel 0.0300
Iter 036: Acc 0.9242, NMI 0.6443, ARI 0.7194, Δlabel 0.0050
Iter 039: Acc 0.9367, NMI 0.6715, ARI 0.7625, Δlabel 0.0242
Iter 042: Acc 0.9200, NMI 0.6705, ARI 0.7054, Δlabel 0.0467
Iter 045: Acc 0.9417, NMI 0.6875, ARI 0.7801, Δlabel 0.0533
Iter 048: Acc 0.9350, NMI 0.6558, ARI 0.7567, Δlabel 0.0100
Iter 051: Acc 0.9358, NMI 0.6918, ARI 0.7596, Δlabel 0.0375
Iter 054: Acc 0.8858, NMI 0.5856, ARI 0.5951, Δlabel 0.0600
Iter 057: Acc 0.9167, NMI 0.6615, ARI 0.6942, Δlabel 0.0308
Iter 060: Acc 0.8950, NMI 0.6069, ARI 0.6238, Δlabel 0.0217
Iter 063: Acc 0.9258, NMI 0.6867, ARI 0.7251, Δlabel 0.0308
Iter 066: Acc 0.9025, NMI 0.6251, ARI 0.6477, Δlabel 0.0233
Iter 069: Acc 0.9267, NMI 0.6891, ARI 0.7280, Δlabel 0.0242
Iter 072: Acc 0.8958, NMI 0.6089, ARI 0.6264, Δlabel 0.0308
Iter 075: Acc 0.9250, NMI 0.6844, ARI 0.7223, Δlabel 0.0292
Iter 078: Acc 0.8958, NMI 0.6089, ARI 0.6264, Δlabel 0.0292
Iter 081: Acc 0.9350, NMI 0.7134, ARI 0.7567, Δlabel 0.0392
Iter 084: Acc 0.9058, NMI 0.6334, ARI 0.6585, Δlabel 0.0292
Iter 087: Acc 0.9358, NMI 0.7159, ARI 0.7596, Δlabel 0.0300
Iter 090: Acc 0.9192, NMI 0.6682, ARI 0.7026, Δlabel 0.0167
Iter 093: Acc 0.9317, NMI 0.7035, ARI 0.7451, Δlabel 0.0125
Iter 096: Acc 0.9383, NMI 0.7235, ARI 0.7684, Δlabel 0.0067
Iter 099: Acc 0.9358, NMI 0.7159, ARI 0.7596, Δlabel 0.0025
