========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 2
batch_size: 256
n_z: 10
dataset: one_gaussian_10_one_line_5_2
pretrain_path: data/one_gaussian_10_one_line_5_2/ae_gamma_1.0_nz_10_update_3.pkl
gamma: 1.0
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

Iter 000: Acc 0.8100, NMI 0.4375, ARI 0.3840, Δlabel 0.0000
Iter 003: Acc 0.7764, NMI 0.3832, ARI 0.3053, Δlabel 0.0336
Iter 006: Acc 0.8071, NMI 0.4327, ARI 0.3770, Δlabel 0.0307
Iter 009: Acc 0.8286, NMI 0.4700, ARI 0.4315, Δlabel 0.0214
Iter 012: Acc 0.8329, NMI 0.4778, ARI 0.4428, Δlabel 0.0043
Iter 015: Acc 0.8357, NMI 0.4831, ARI 0.4505, Δlabel 0.0029
Iter 018: Acc 0.8443, NMI 0.4992, ARI 0.4738, Δlabel 0.0086
Iter 021: Acc 0.8464, NMI 0.5033, ARI 0.4797, Δlabel 0.0021
Iter 024: Acc 0.8443, NMI 0.4992, ARI 0.4738, Δlabel 0.0021
Iter 027: Acc 0.8486, NMI 0.5075, ARI 0.4857, Δlabel 0.0043
Iter 030: Acc 0.8564, NMI 0.5230, ARI 0.5078, Δlabel 0.0079
Iter 033: Acc 0.8457, NMI 0.5019, ARI 0.4777, Δlabel 0.0107
Iter 036: Acc 0.8607, NMI 0.5316, ARI 0.5201, Δlabel 0.0150
Iter 039: Acc 0.8536, NMI 0.5173, ARI 0.4997, Δlabel 0.0071
Iter 042: Acc 0.8621, NMI 0.5345, ARI 0.5243, Δlabel 0.0086
Iter 045: Acc 0.8629, NMI 0.5360, ARI 0.5263, Δlabel 0.0007
