========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 2
batch_size: 256
n_z: 2
dataset: overlapping
pretrain_path: data/overlapping/ae_gamma_1.0_nz_2_update_3.pkl
gamma: 1.0
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

IDEC(
  (ae): AE(
    (enc_1): Linear(in_features=2, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=1000, bias=True)
    (z_layer): Linear(in_features=1000, out_features=2, bias=True)
    (dec_1): Linear(in_features=2, out_features=1000, bias=True)
    (dec_2): Linear(in_features=1000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2, bias=True)
  )
)=================================================

Iter 000: Acc 0.7100, NMI 0.1326, ARI 0.1757, Δlabel 0.0000
Iter 003: Acc 0.7033, NMI 0.1231, ARI 0.1647, Δlabel 0.0233
Iter 006: Acc 0.7158, NMI 0.1398, ARI 0.1857, Δlabel 0.0508
Iter 009: Acc 0.7308, NMI 0.1599, ARI 0.2125, Δlabel 0.0283
Iter 012: Acc 0.7317, NMI 0.1610, ARI 0.2140, Δlabel 0.0092
Iter 015: Acc 0.7408, NMI 0.1746, ARI 0.2314, Δlabel 0.0108
Iter 018: Acc 0.7408, NMI 0.1746, ARI 0.2314, Δlabel 0.0033
Iter 021: Acc 0.7417, NMI 0.1758, ARI 0.2330, Δlabel 0.0025
Iter 024: Acc 0.7400, NMI 0.1733, ARI 0.2298, Δlabel 0.0017
Iter 027: Acc 0.7425, NMI 0.1771, ARI 0.2346, Δlabel 0.0042
Iter 030: Acc 0.7458, NMI 0.1822, ARI 0.2411, Δlabel 0.0083
Iter 033: Acc 0.7408, NMI 0.1752, ARI 0.2314, Δlabel 0.0200
Iter 036: Acc 0.7325, NMI 0.1643, ARI 0.2156, Δlabel 0.0217
Iter 039: Acc 0.7308, NMI 0.1636, ARI 0.2125, Δlabel 0.0150
Iter 042: Acc 0.7208, NMI 0.1527, ARI 0.1944, Δlabel 0.0250
Iter 045: Acc 0.7175, NMI 0.1532, ARI 0.1886, Δlabel 0.0267
Iter 048: Acc 0.7175, NMI 0.1539, ARI 0.1886, Δlabel 0.0033
Iter 051: Acc 0.7033, NMI 0.1389, ARI 0.1647, Δlabel 0.0225
Iter 054: Acc 0.7183, NMI 0.1546, ARI 0.1900, Δlabel 0.0250
Iter 057: Acc 0.7167, NMI 0.1529, ARI 0.1871, Δlabel 0.0033
Iter 060: Acc 0.7025, NMI 0.1375, ARI 0.1634, Δlabel 0.0208
Iter 063: Acc 0.7158, NMI 0.1519, ARI 0.1857, Δlabel 0.0200
Iter 066: Acc 0.7100, NMI 0.1456, ARI 0.1758, Δlabel 0.0092
Iter 069: Acc 0.7192, NMI 0.1560, ARI 0.1915, Δlabel 0.0125
Iter 072: Acc 0.7100, NMI 0.1451, ARI 0.1758, Δlabel 0.0108
Iter 075: Acc 0.7050, NMI 0.1396, ARI 0.1675, Δlabel 0.0067
Iter 078: Acc 0.7192, NMI 0.1538, ARI 0.1915, Δlabel 0.0275
Iter 081: Acc 0.7167, NMI 0.1529, ARI 0.1871, Δlabel 0.0125
Iter 084: Acc 0.7083, NMI 0.1431, ARI 0.1730, Δlabel 0.0100
Iter 087: Acc 0.7108, NMI 0.1466, ARI 0.1772, Δlabel 0.0025
Iter 090: Acc 0.7183, NMI 0.1546, ARI 0.1900, Δlabel 0.0125
Iter 093: Acc 0.7183, NMI 0.1550, ARI 0.1900, Δlabel 0.0017
Iter 096: Acc 0.7142, NMI 0.1502, ARI 0.1828, Δlabel 0.0058
Iter 099: Acc 0.7158, NMI 0.1523, ARI 0.1857, Δlabel 0.0017
