========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 3
batch_size: 256
n_z: 10
dataset: sparse_8_dense_1_dense_1
pretrain_path: data/sparse_8_dense_1_dense_1/ae_gamma_0.01_nz_10_update_3.pkl
gamma: 0.01
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 3
batch_size: 256
n_z: 10
dataset: sparse_8_dense_1_dense_1
pretrain_path: data/sparse_8_dense_1_dense_1/ae_gamma_0.01_nz_10_update_3.pkl
gamma: 0.01
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

Iter 000: Acc 0.4933, NMI 0.5254, ARI 0.3462, Δlabel 0.0000
Iter 003: Acc 0.5156, NMI 0.5335, ARI 0.3520, Δlabel 0.0256
Iter 006: Acc 0.5289, NMI 0.5422, ARI 0.3584, Δlabel 0.0156
Iter 009: Acc 0.5400, NMI 0.5429, ARI 0.3610, Δlabel 0.0111
Iter 012: Acc 0.5156, NMI 0.5416, ARI 0.3563, Δlabel 0.0244
Iter 015: Acc 0.4967, NMI 0.5371, ARI 0.3528, Δlabel 0.0244
Iter 018: Acc 0.5133, NMI 0.5334, ARI 0.3517, Δlabel 0.0189
Iter 021: Acc 0.5089, NMI 0.5333, ARI 0.3513, Δlabel 0.0044
Iter 024: Acc 0.5089, NMI 0.5373, ARI 0.3534, Δlabel 0.0022
Iter 027: Acc 0.5156, NMI 0.5416, ARI 0.3563, Δlabel 0.0067
Iter 030: Acc 0.5011, NMI 0.5455, ARI 0.3574, Δlabel 0.0167
Iter 033: Acc 0.5100, NMI 0.5414, ARI 0.3557, Δlabel 0.0111
Iter 036: Acc 0.5267, NMI 0.5379, ARI 0.3558, Δlabel 0.0189
Iter 039: Acc 0.5333, NMI 0.5343, ARI 0.3551, Δlabel 0.0089
Iter 042: Acc 0.5422, NMI 0.5350, ARI 0.3574, Δlabel 0.0089
Iter 045: Acc 0.5467, NMI 0.5353, ARI 0.3587, Δlabel 0.0044
Iter 048: Acc 0.5522, NMI 0.5358, ARI 0.3605, Δlabel 0.0056
Iter 051: Acc 0.5556, NMI 0.5361, ARI 0.3617, Δlabel 0.0033
Iter 054: Acc 0.5589, NMI 0.5365, ARI 0.3629, Δlabel 0.0033
Iter 057: Acc 0.5489, NMI 0.5355, ARI 0.3594, Δlabel 0.0100
Iter 060: Acc 0.5144, NMI 0.5379, ARI 0.3565, Δlabel 0.0422
Iter 063: Acc 0.5278, NMI 0.5385, ARI 0.3584, Δlabel 0.0133
Iter 066: Acc 0.5344, NMI 0.5388, ARI 0.3598, Δlabel 0.0067
Iter 069: Acc 0.5422, NMI 0.5394, ARI 0.3617, Δlabel 0.0078
Iter 072: Acc 0.5478, NMI 0.5435, ARI 0.3632, Δlabel 0.0089
Iter 075: Acc 0.5533, NMI 0.5399, ARI 0.3629, Δlabel 0.0078
Iter 078: Acc 0.5578, NMI 0.5364, ARI 0.3625, Δlabel 0.0067
Iter 081: Acc 0.5622, NMI 0.5369, ARI 0.3642, Δlabel 0.0044
Iter 084: Acc 0.5644, NMI 0.5371, ARI 0.3652, Δlabel 0.0022
Iter 087: Acc 0.5656, NMI 0.5334, ARI 0.3636, Δlabel 0.0033
Iter 090: Acc 0.5678, NMI 0.5337, ARI 0.3646, Δlabel 0.0022
Iter 093: Acc 0.5700, NMI 0.5339, ARI 0.3656, Δlabel 0.0044
Iter 096: Acc 0.5767, NMI 0.5348, ARI 0.3687, Δlabel 0.0067
Iter 099: Acc 0.5767, NMI 0.5348, ARI 0.3687, Δlabel 0.0022
