========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 3
batch_size: 256
n_z: 10
dataset: sparse_8_dense_1_dense_1_10
pretrain_path: data/sparse_8_dense_1_dense_1_10/ae_gamma_0.01_nz_10_update_3.pkl
gamma: 0.01
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 3
batch_size: 256
n_z: 10
dataset: sparse_8_dense_1_dense_1_10
pretrain_path: data/sparse_8_dense_1_dense_1_10/ae_gamma_0.01_nz_10_update_3.pkl
gamma: 0.01
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

Iter 000: Acc 0.4902, NMI 0.4892, ARI 0.3229, Δlabel 0.0000
Iter 003: Acc 0.5108, NMI 0.4394, ARI 0.2852, Δlabel 0.0580
Iter 006: Acc 0.4946, NMI 0.3895, ARI 0.2351, Δlabel 0.0347
Iter 009: Acc 0.4761, NMI 0.3544, ARI 0.1936, Δlabel 0.0272
Iter 012: Acc 0.4680, NMI 0.3366, ARI 0.1710, Δlabel 0.0180
Iter 015: Acc 0.4588, NMI 0.3099, ARI 0.1352, Δlabel 0.0341
Iter 018: Acc 0.4623, NMI 0.3075, ARI 0.1324, Δlabel 0.0103
Iter 021: Acc 0.4781, NMI 0.3046, ARI 0.1311, Δlabel 0.0240
Iter 024: Acc 0.4844, NMI 0.3161, ARI 0.1475, Δlabel 0.0160
Iter 027: Acc 0.5018, NMI 0.3367, ARI 0.1768, Δlabel 0.0257
Iter 030: Acc 0.5219, NMI 0.3608, ARI 0.2100, Δlabel 0.0309
Iter 033: Acc 0.5361, NMI 0.3660, ARI 0.2202, Δlabel 0.0179
Iter 036: Acc 0.5353, NMI 0.3752, ARI 0.2297, Δlabel 0.0230
Iter 039: Acc 0.5662, NMI 0.3866, ARI 0.2535, Δlabel 0.0329
Iter 042: Acc 0.5807, NMI 0.4026, ARI 0.2758, Δlabel 0.0146
Iter 045: Acc 0.5650, NMI 0.4066, ARI 0.2720, Δlabel 0.0268
Iter 048: Acc 0.5533, NMI 0.4196, ARI 0.2790, Δlabel 0.0297
Iter 051: Acc 0.5448, NMI 0.4168, ARI 0.2735, Δlabel 0.0123
Iter 054: Acc 0.5249, NMI 0.4139, ARI 0.2651, Δlabel 0.0237
Iter 057: Acc 0.5194, NMI 0.4124, ARI 0.2624, Δlabel 0.0074
Iter 060: Acc 0.5070, NMI 0.4079, ARI 0.2556, Δlabel 0.0131
Iter 063: Acc 0.4943, NMI 0.4156, ARI 0.2613, Δlabel 0.0222
Iter 066: Acc 0.4899, NMI 0.4127, ARI 0.2581, Δlabel 0.0044
Iter 069: Acc 0.4877, NMI 0.4050, ARI 0.2502, Δlabel 0.0069
Iter 072: Acc 0.4820, NMI 0.4015, ARI 0.2462, Δlabel 0.0057
Iter 075: Acc 0.4859, NMI 0.3942, ARI 0.2389, Δlabel 0.0132
Iter 078: Acc 0.4826, NMI 0.3937, ARI 0.2382, Δlabel 0.0040
Iter 081: Acc 0.4820, NMI 0.3944, ARI 0.2389, Δlabel 0.0019
Iter 084: Acc 0.4810, NMI 0.3928, ARI 0.2371, Δlabel 0.0019
Iter 087: Acc 0.4808, NMI 0.3939, ARI 0.2382, Δlabel 0.0022
Iter 090: Acc 0.4808, NMI 0.3939, ARI 0.2382, Δlabel 0.0020
Iter 093: Acc 0.4831, NMI 0.3866, ARI 0.2307, Δlabel 0.0119
Iter 096: Acc 0.4821, NMI 0.3846, ARI 0.2284, Δlabel 0.0021
Iter 099: Acc 0.4786, NMI 0.3883, ARI 0.2322, Δlabel 0.0087
