========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 3
batch_size: 256
n_z: 10
dataset: sparse_8_dense_1_dense_1_10
pretrain_path: data/sparse_8_dense_1_dense_1_10/ae_gamma_0.5_nz_10_update_3.pkl
gamma: 0.5
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

Iter 000: Acc 0.4907, NMI 0.4964, ARI 0.3280, Δlabel 0.0000
Iter 003: Acc 0.3591, NMI 0.1931, ARI -0.0497, Δlabel 0.3403
Iter 006: Acc 0.4468, NMI 0.3121, ARI 0.1372, Δlabel 0.2110
Iter 009: Acc 0.5519, NMI 0.4127, ARI 0.2723, Δlabel 0.1518
Iter 012: Acc 0.5662, NMI 0.4329, ARI 0.2956, Δlabel 0.0242
Iter 015: Acc 0.5918, NMI 0.4603, ARI 0.3294, Δlabel 0.0356
Iter 018: Acc 0.6054, NMI 0.4778, ARI 0.3495, Δlabel 0.0196
Iter 021: Acc 0.5984, NMI 0.4886, ARI 0.3527, Δlabel 0.0123
Iter 024: Acc 0.5828, NMI 0.4709, ARI 0.3326, Δlabel 0.0217
Iter 027: Acc 0.4983, NMI 0.4415, ARI 0.2855, Δlabel 0.0891
Iter 030: Acc 0.5169, NMI 0.4995, ARI 0.3321, Δlabel 0.0380
Iter 033: Acc 0.5271, NMI 0.5116, ARI 0.3414, Δlabel 0.0138
Iter 036: Acc 0.5341, NMI 0.5235, ARI 0.3498, Δlabel 0.0098
Iter 039: Acc 0.5212, NMI 0.5239, ARI 0.3478, Δlabel 0.0136
Iter 042: Acc 0.5043, NMI 0.5237, ARI 0.3460, Δlabel 0.0173
Iter 045: Acc 0.5320, NMI 0.5343, ARI 0.3553, Δlabel 0.0289
Iter 048: Acc 0.5119, NMI 0.4641, ARI 0.3058, Δlabel 0.0372
Iter 051: Acc 0.5142, NMI 0.4886, ARI 0.3243, Δlabel 0.0112
Iter 054: Acc 0.5240, NMI 0.5108, ARI 0.3404, Δlabel 0.0148
Iter 057: Acc 0.5316, NMI 0.5274, ARI 0.3515, Δlabel 0.0108
Iter 060: Acc 0.5283, NMI 0.5272, ARI 0.3508, Δlabel 0.0034
Iter 063: Acc 0.5269, NMI 0.5146, ARI 0.3432, Δlabel 0.0044
Iter 066: Acc 0.5306, NMI 0.5008, ARI 0.3353, Δlabel 0.0087
Iter 069: Acc 0.5349, NMI 0.4987, ARI 0.3347, Δlabel 0.0053
Iter 072: Acc 0.5342, NMI 0.4971, ARI 0.3336, Δlabel 0.0012
Iter 075: Acc 0.5377, NMI 0.5010, ARI 0.3369, Δlabel 0.0038
Iter 078: Acc 0.5364, NMI 0.4988, ARI 0.3352, Δlabel 0.0018
Iter 081: Acc 0.5348, NMI 0.4953, ARI 0.3325, Δlabel 0.0022
Iter 084: Acc 0.5470, NMI 0.5012, ARI 0.3394, Δlabel 0.0124
Iter 087: Acc 0.5480, NMI 0.5019, ARI 0.3402, Δlabel 0.0011
Iter 090: Acc 0.5464, NMI 0.5014, ARI 0.3394, Δlabel 0.0016
Iter 093: Acc 0.5459, NMI 0.5017, ARI 0.3395, Δlabel 0.0008
